Submission ID,cup_assumptions,spent_assumptions
bl4Q2E,1,30
5dqPev,1,30
6dQEvO,3,50
jB9ALR,2,50
9dJjpK,2,50
LdMLE2,1,30
xdN54E,1,70
J2kvV7,1,30
8dp46k,3,90
1r2oD4,2,30
bl4QK0,1,30
DVv6AX,2,150
QABlxk,1,90
aBrqjy,2,10
XeBP1e,4,150
qbE1P2,2,70
9dJjlG,2,70
WApVPJ,2,70
jB9A5Y,3,50
OABMjA,2,50
DVv6V5,3,90
XeBPMd,2,50
6dQEAo,1,30
jB9AG9,1,30
pLPpVV,5,70
5dqPpQ,3,30
zKQ51g,1,30
7d9rp2,2,30
5dqPMQ,2,30
9dJjrE,1,30
MAdp78,1,30
pLPpz1,0,30
KMBKgX,2,70
QABlk1,0,10
PABJ41,1,30
QABlO1,1,30
RzByjK,2,70
kYRBrr,3,30
PABJGx,2,150
vNx5gl,1,50
eBxWzx,3,70
WApVZe,0,30
Albeae,1,30
lNlkMX,2,50
OABMVa,1,30
XeBP2z,1,30
eBxWpl,3,30
RzBy2K,3,50
GrBAjZ,3,50
KMBKaD,4,30
ZdRrQV,0,10
1r2oRg,2,30
kYRBkZ,1,30
oAVLzb,2,30
aBrqzZ,0,10
rlrMvX,2,30
EPb76l,2,50
24xGDM,1,70
7d9rPa,1,10
DVv69R,2,50
42NVdA,2,30
g5N6OP,2,150
J2kvZR,2,70
RzBylj,2,90
qbE1zO,2,30
jB9AEQ,2,50
xdN5ov,1,30
9dJja5,2,30
kYRBQe,2,90
24xGVD,2,30
VZ1O46,4,50
PABJee,2,30
eBxWYQ,1,10
qbE1NO,2,30
oAVLaP,3,30
LdMLgl,2,50
ylq5zd,3,50
NAB1EO,1,90
7d9rj0,1,50
ZdRrKB,2,30
xdN56d,1,30
rlrMg2,3,50
qbE1pg,1,30
pLPpXJ,3,70
xdN5vk,2,30
vNx5a0,5,150
LdML6J,1,30
6dQEyJ,1,30
xdN5L5,2,70
OABMra,1,30
jB9AgQ,1,30
EPb7AB,3,90
GrBAQO,2,90
lNlk9v,2,70
eBxWox,3,10
VZ1OyM,1,10
KMBKNV,1,30
OABMyY,2,50
WApVjR,1,30
OABMKR,2,30
BGbWVK,2,30
XeBPyL,3,90
VZ1OBg,1,50
1r2ox1,0,10
LdMLVl,1,30
oAVLQO,2,30
pLPpNJ,0,10
eBxWPk,2,30
VZ1Oxj,0,10
zKQ54R,2,50
eBxWyl,1,50
rlrM1R,1,50
24xGZD,2,90
VZ1Oyy,0,30
XeBPdg,1,50
rlrMRN,2,150
6dQEGk,2,30
EPb7YB,1,30
7d9rEa,2,50
ylq5Rx,2,30
MAdpgk,1,30
g5N6vJ,1,50
0EjRlB,3,30
9dJjPQ,2,70
AlbeND,1,30
OABMkM,2,90
zKQ5dk,2,10
7d9rgR,3,50
vNx5pl,1,30
EPb7e4,2,50
DVv6PZ,2,30
MAdpPk,2,30
ylq5rg,0,10
24xG7M,1,70
bl4Qz6,1,30
6dQE9Y,2,30
eBxWvQ,2,70
ZdRrXo,1,30
24xGy9,1,50
xdN57r,1,10
lNlkXk,2,10
9dJjyV,2,50
RzBy19,2,50
J2kvgK,1,30
J2kvbo,2,50
DVv6ZE,1,50
XeBPvY,2,10
ZdRrAo,1,30
NAB1O0,3,70
J2kvBr,2,70
ylq5px,2,30
KMBKRg,2,50
OABMyg,2,70
oAVLax,2,70
VZ1OXg,2,50
WApVdv,2,50
EPb7rr,2,70
NAB1gO,2,50
XeBPkY,3,30
vNx5Wg,2,50
LdMLOy,1,30
aBrqa2,2,50
WApVXN,2,30
OABMeg,3,30
NAB1xl,2,70
dY2ekV,2,90
LdMLBv,2,50
Albe0e,1,30
eBxW8e,2,50
8dp4V5,2,150
1r2ozp,2,50
DVv6al,2,50
QABl4Y,1,90
DVv6EZ,2,30
J2kvxR,3,50
eBxWGe,1,90
KMBKA8,1,70
DVv6Wl,2,50
QABlyG,0,10
pLPp58,3,50
VZ1Oqj,1,30
XeBPNP,1,30
jB9Aq4,0,30
qbE1M9,3,30
5dqPON,2,50
rlrMW2,2,30
dY2ezr,2,50
oAVLgb,1,90
GrBAaZ,2,70
7d9rOZ,2,30
kYRB1e,1,10
24xGzj,4,150
XeBPQP,3,30
9dJj4E,2,30
MAdpqA,0,30
AlbeOz,2,50
NAB1Qj,3,90
GrBA5O,0,10
24xGYj,2,30
kYRBXR,2,30
WApV6N,3,30
dY2eXo,2,30
QABlp7,2,70
ylq5GX,1,10
EPb7Al,1,50
42NVEA,1,50
aBrqgb,2,50
42NVYX,2,50
oAVL1x,2,50
KMBKZV,1,70
1r2oyl,0,30
42NVEr,2,30
g5N614,2,50
0EjRyj,4,90
6dQEzJ,3,30
jB9Ara,0,30
dY2e4K,0,10
zKQ5vM,2,150
YZzlgW,1,10
pLPpZ1,1,30
J2kvro,1,50
rlrMp2,1,50
QABlWG,2,150
vNx5d4,1,50
jB9AzQ,1,50
MAdp2M,1,30
7d9rYZ,2,50
g5N6XO,2,30
PABJr1,2,30
RzByg4,1,30
MAdpGl,2,30
g5N6rD,1,50
RzByaj,2,30
PABJLV,2,50
GrBA4k,2,10
zKQ5o0,2,10
GrBAOp,1,30
qbE1QY,1,50
EPb77N,1,30
YZzlbB,4,70
Albeek,2,30
WApV7a,2,70
kYRBPM,1,50
GrBAAo,2,50
rlrMMl,2,30
VZ1Oag,2,30
5dqPa6,2,50
J2kvj4,2,70
XeBPAj,1,50
24xGdL,1,50
qbE117,1,30
42NVVk,2,50
5dqPYo,2,30
J2kv4d,1,90
EPb7VX,0,10
LdMLxj,4,70
1r2o0Q,1,70
bl4QJo,2,50
42NV6b,2,30
aBrqJv,1,30
OABMM7,0,50
42NVMb,2,90
WApVaj,1,50
RzByQ9,2,30
OABMM8,2,90
42NVlk,1,30
XeBP6j,1,10
eBxWWO,1,30
PABJqb,2,50
6dQEBB,1,70
GrBAEp,2,30
xdN5qo,2,50
g5N6VO,2,70
eBxWXO,1,50
KMBKj7,2,70
5dqP06,2,50
zKQ58a,3,90
EPb7RN,2,50
DVv685,2,70
RzByed,2,50
oAVLjV,2,70
dY2ery,1,30
pLPp2b,2,50
QABlN8,2,30
GrBAZj,0,10
YZzl75,1,50
ylq58B,1,50
ylq5AB,0,10
AlbeR0,2,50
dY2eoo,1,30
YZzlAd,2,50
NAB1NB,1,50
aBrqR9,1,10
LdMLr1,1,90
zKQ5k1,1,50
42NVbO,1,10
oAVLJ1,1,50
jB9AN6,1,30
qbE1l7,0,10
42NV0X,3,30
7d9rrA,1,10
5dqPNM,2,50
ZdRrbz,3,50
vNx5RA,1,30
0EjRqN,1,30
vNx59Q,2,70
EPb72o,0,10
dY2eJq,1,30
PABJxb,0,70
6dQEEB,2,50
6dQE6P,2,50
pLPpYq,1,50
XeBP7g,3,50
rlrM8l,1,30
RzByqd,2,30
9dJjKY,1,10
RzByNl,0,10
VZ1O7J,2,90
vNx5kd,2,50
8dp4DO,1,30
7d9rkA,1,50
GrBAAp,3,70
rlrMQN,1,30
GrBAW2,1,30
6dQEqe,1,30
RzBypp,2,70
zKQ5AR,1,30
eBxWg0,3,30
jB9AAx,0,10
oAVLLV,0,30
YZzl6d,3,70
g5N6EN,0,10
xdN5AG,1,50
lNlkp5,2,30
ZdRrBy,1,30
YZzl2q,2,30
rlrM75,1,30
zKQ5Ba,0,10
0EjRX0,1,30
