Submission ID,cup_assumptions,spent_assumptions
zKQ5jM,3,1.6666666666666667
XeBPJY,2,2.3333333333333335
kYRB61,2,3.0
zKQ5y0,3,1.6666666666666667
RzBy5d,4,3.0
ZdRrNy,2,1.0
6dQE7B,2,2.3333333333333335
0EjRey,2,1.0
QABlDp,1,1.0
24xGB9,2,1.6666666666666667
EPb7QX,2,1.0
qbE1AY,2,2.3333333333333335
RzByD9,2,1.0
42NVQY,2,1.0
EPb7XX,1,1.0
Albe2z,3,1.6666666666666667
PABJ9V,3,1.6666666666666667
rlrM5R,5,1.6666666666666667
kYR8Pj,2,1.6666666666666667
J2kvqK,0,1.0
J2kv1K,3,1.0
PABJpB,1,1.0
EPb7l4,3,1.6666666666666667
XeBP0j,1,3.0
vNx5Yv,2,2.3333333333333335
NAB1WB,2,1.6666666666666667
42NV8k,2,2.3333333333333335
VZ1OQg,2,2.3333333333333335
LdMLWj,4,1.6666666666666667
LdMLKv,1,0.3333333333333333
zKQ5Ya,2,1.6666666666666667
pLPpoJ,1,1.6666666666666667
lNlkqv,2,1.6666666666666667
GrBO2O,2,1.0
KMBK1A,0,0.3333333333333333
dY2e9o,1,1.0
9dJjQp,4,2.3333333333333335
QABl58,3,1.6666666666666667
BGbWk5,2,1.0
24xGPj,2,1.6666666666666667
0EjRdB,5,1.6666666666666667
RzByPd,2,3.0
RzBq9P,2,1.6666666666666667
PABJ65,2,1.0
oAVLRP,2,1.0
24xGPL,0,1.0
rlr84L,1,0.3333333333333333
VZ1O0v,2,1.6666666666666667
8dp4xO,2,1.0
bl4QWL,2,1.6666666666666667
qbE1a9,2,1.0
VZ1O5J,3,3.0
rlrMPl,0,1.0
EPb7XN,2,1.0
dY2e0o,1,1.0
lNlkyB,3,0.3333333333333333
BGbJo7,3,5.0
xdN5ay,2,5.0
GrBAdp,0,0.3333333333333333
BGbWxQ,3,1.0
MAdpzp,2,5.0
RzBy0J,2,1.6666666666666667
PABJ1e,2,1.0
XeBPWj,1,1.0
g5N6Gl,3,2.3333333333333335
jB9AZJ,1,1.6666666666666667
g5N6e4,3,1.6666666666666667
0Ejq9Q,2,3.0
xdN8EG,2,1.6666666666666667
zKQ5Da,1,1.6666666666666667
xdN5Xv,2,3.0
24xGAj,2,5.0
lNl8j5,2,1.0
YZz7Nv,2,1.0
VZ1OEj,2,3.0
bl4Qlo,3,3.0
42NVkO,2,1.0
9dJjdY,2,2.3333333333333335
WApV0J,0,0.3333333333333333
1r2oEM,4,0.3333333333333333
jB9AME,2,3.0
GrBAro,2,1.6666666666666667
KMBK67,0,1.0
xdN5QG,1,2.3333333333333335
XeBPe4,1,1.0
8dp4kx,2,1.0
EPb71N,3,1.0
eBxWBO,2,1.0
6dQExe,2,1.6666666666666667
24xGrp,2,2.3333333333333335
5dqP2M,3,1.6666666666666667
QABlrg,1,1.0
xdN5Qo,2,1.0
vNx5AQ,1,0.3333333333333333
YZzldq,1,1.0
zKQ5zq,1,1.0
5dqPkd,3,3.0
1r2ovO,2,2.3333333333333335
PABJB0,1,1.6666666666666667
AlbeDW,1,1.0
GrBA1o,2,5.0
6dQE15,2,1.6666666666666667
LdMLG1,3,2.3333333333333335
LdML0G,1,1.6666666666666667
zKQ5Kq,0,0.3333333333333333
J2kvJY,3,3.0
rlrMVM,4,3.0
DVv6eb,1,1.0
5dqPdd,2,1.6666666666666667
RzByLl,2,1.0
5dqPvP,3,1.6666666666666667
YZzlV0,2,1.0
vNx54A,1,1.0
jB9ABE,2,1.6666666666666667
RzBy4J,4,1.6666666666666667
jB9AxR,3,1.6666666666666667
dY2eYA,2,1.6666666666666667
0EjRJ0,1,1.6666666666666667
PABJvP,2,1.0
DVv60p,1,1.0
rlrMKv,0,1.0
9dJjJ4,2,1.0
oAVL0M,1,2.3333333333333335
vNx5Od,1,1.0
QABlYA,2,1.6666666666666667
24xGkp,2,2.3333333333333335
7d9roL,3,1.6666666666666667
lNlkNW,2,1.0
g5N64N,2,1.6666666666666667
g5N65d,1,1.0
7d9rdA,2,2.3333333333333335
lNlkL5,2,2.3333333333333335
0EjRoQ,3,1.6666666666666667
GrBA1j,0,0.3333333333333333
qbE1b7,2,1.0
oAVLVM,1,1.0
RzByRl,1,1.0
g5N6QK,1,1.0
QABlBk,2,1.0
vNx5NQ,2,1.0
6dQEro,2,2.3333333333333335
eBxWNo,1,1.0
NAB1MN,2,1.0
dY2eDy,1,0.3333333333333333
MAdpvE,1,1.0
MAdp5Y,2,1.0
9dJjE1,2,5.0
PABJ20,2,1.0
8dp4eA,2,1.6666666666666667
DVv65b,2,1.6666666666666667
qbE1o8,2,1.0
OABMBA,2,0.3333333333333333
oAVLlM,5,1.0
5dqPEb,2,1.0
6dQEOO,2,3.0
jB9A99,2,1.0
7d9r46,1,1.0
qbE1Yk,2,1.0
pLPpWZ,1,1.6666666666666667
VZ1Olv,1,1.6666666666666667
OABMJp,3,1.6666666666666667
aBrqry,2,1.6666666666666667
7d9r9z,3,2.3333333333333335
oAVLl5,2,0.3333333333333333
aBrqZW,1,3.0
lNlk06,4,2.3333333333333335
ZdRrGv,1,1.6666666666666667
xdN5ZG,3,1.6666666666666667
lNlkYV,3,1.6666666666666667
VZ1OME,1,1.6666666666666667
rlrMrL,1,1.6666666666666667
42NVAd,3,1.6666666666666667
jB9AJ1,2,2.3333333333333335
ZdRrvA,5,3.0
8dp4dx,1,1.6666666666666667
vNx5JX,1,1.0
zKQ5e1,0,0.3333333333333333
lNlkKV,2,1.6666666666666667
rlrMJX,2,1.0
LdMLaz,1,2.3333333333333335
rlrM0L,2,1.0
NAB1Rp,2,1.0
42NV9d,2,3.0
jB9A76,2,1.6666666666666667
OABMLK,3,1.0
GrBABz,2,1.6666666666666667
YZzlY6,0,0.3333333333333333
YZzlo0,1,1.6666666666666667
g5N671,2,5.0
qbE1k5,2,1.0
7d9r16,0,1.0
24xGkV,1,1.0
BGbWA4,1,1.6666666666666667
rlrMJp,2,1.6666666666666667
bl4Qr2,3,2.3333333333333335
aBrqDE,2,2.3333333333333335
YZzlrq,1,1.0
VZ1O9l,2,1.6666666666666667
EPb7Lo,4,3.0
jB9A09,2,1.0
EPb7Z2,2,1.0
EPb7vA,0,1.0
42NVPo,2,3.0
g5N6JM,2,1.0
9dJj2K,2,5.0
xdN5Rk,2,3.0
24xGvA,2,1.0
ZdRrza,2,1.6666666666666667
1r2oN4,3,5.0
VZ1ObN,4,1.0
24xGxA,1,2.3333333333333335
pLPpRy,2,1.0
J2kvk7,2,1.6666666666666667
oAVL55,2,1.6666666666666667
lNlkWp,2,1.6666666666666667
QABl8l,2,5.0
eBxWxo,0,0.3333333333333333
eBxW2E,2,1.6666666666666667
rlrMd5,4,1.0
RzByvv,2,3.0
rlrM2p,4,1.6666666666666667
24xG1g,3,1.0
EPb7BL,1,1.6666666666666667
eBxWKJ,1,1.6666666666666667
zKQ5J8,2,1.0
ZdRrZ5,2,1.0
1r2o2L,1,1.6666666666666667
xdN599,4,1.0
YZzlpz,2,1.6666666666666667
bl4Q82,0,0.3333333333333333
PABJ80,3,1.6666666666666667
24xGOb,2,1.6666666666666667
5dqPGP,2,1.6666666666666667
bl4Q4E,2,1.0
KMBKBK,2,1.0
DVv6Jj,2,1.6666666666666667
eBxW7E,3,2.3333333333333335
GrBAoz,3,1.6666666666666667
EPb70o,2,3.0
kYRBJd,2,1.6666666666666667
J2kv2d,1,1.0
OABMdk,2,2.3333333333333335
LdMLvz,0,1.0
VZ1OZv,2,0.3333333333333333
5dqPLM,2,1.0
LdMLXG,2,3.0
RzByZP,2,1.6666666666666667
42NVvB,0,0.3333333333333333
GrBAqO,3,5.0
BGbWj4,0,3.0
BGbWB7,1,1.0
ylq5o6,3,1.0
J2kvLJ,3,5.0
42NVjb,1,1.0
bl4Q2E,1,1.0
5dqPev,1,1.0
6dQEvO,3,1.6666666666666667
jB9ALR,2,1.6666666666666667
9dJjpK,2,1.6666666666666667
LdMLE2,1,1.0
xdN54E,1,2.3333333333333335
J2kvV7,1,1.0
8dp46k,3,3.0
1r2oD4,2,1.0
bl4QK0,1,1.0
DVv6AX,2,5.0
QABlxk,1,3.0
aBrqjy,2,0.3333333333333333
XeBP1e,4,5.0
qbE1P2,2,2.3333333333333335
9dJjlG,2,2.3333333333333335
WApVPJ,2,2.3333333333333335
jB9A5Y,3,1.6666666666666667
OABMjA,2,1.6666666666666667
DVv6V5,3,3.0
XeBPMd,2,1.6666666666666667
6dQEAo,1,1.0
jB9AG9,1,1.0
pLPpVV,5,2.3333333333333335
5dqPpQ,3,1.0
zKQ51g,1,1.0
7d9rp2,2,1.0
5dqPMQ,2,1.0
9dJjrE,1,1.0
